course_title,Description,original_description,extracted_skills,combined_description
"Ethics, legislation, and compliance for cybersecurity","Learning outcomes After successful completion of the course, the students will: have a thorough understanding of the importance of communication and teamwork for cybersecurity operations at individual, organizational and societal levels. have advanced knowledge of tools (e.g. SIEM, digital twins) and methods (e.g. Common Operating Picture, Scenarios) for situational awareness in cybersecurity operations and interorganizational collaboration. be able to analyze key cybersecurity concepts and communicate effectively to different stakeholders. be able to apply key principles and techniques for effective communication before, during, and after cybersecurity crises. be able to create preventive deception communication practices in cyberspace. Contents The course covers key aspects of effective communication for cybersecurity operations at individual, organizational and societal levels. This includes dominant communication and teamwork frameworks with an emphasis on how individuals and organizations collaborate and cope with cybersecurity crises before, during and after they happen. The course also sheds light on the deceptive communication tactics used in cyberattacks, and the defensive mechanisms against those types of attacks
",learning outcomes after successful completion of the course the students will have a thorough understanding of the importance of communication and teamwork for cybersecurity operations at individual organizational and societal levels have advanced knowledge of tools eg siem digital twins and methods eg common operating picture scenarios for situational awareness in cybersecurity operations and interorganizational collaboration be able to analyze key cybersecurity concepts and communicate effectively to different stakeholders be able to apply key principles and techniques for effective communication before during and after cybersecurity crises be able to create preventive deception communication practices in cyberspace contents the course covers key aspects of effective communication for cybersecurity operations at individual organizational and societal levels this includes dominant communication and teamwork frameworks with an emphasis on how individuals and organizations collaborate and cope with cybersecurity crises before during and after they happen the course also sheds light on the deceptive communication tactics used in cyberattacks and the defensive mechanisms against those types of attacks,"cyber security, cyber operations, digital twin, effective communication, security information and event management siem, communication","ethics, legislation, and compliance for cybersecurity, learning outcomes after successful completion of the course, the students will have a thorough understanding of the importance of communication and teamwork for cybersecurity operations at individual, organizational and societal levels have advanced knowledge of tools eg siem, digital twins and methods eg common operating picture, scenarios for situational awareness in cybersecurity operations and interorganizational collaboration be able to analyze key cybersecurity concepts and communicate effectively to different stakeholders be able to apply key principles and techniques for effective communication before, during, and after cybersecurity crises be able to create preventive deception communication practices in cyberspace contents the course covers key aspects of effective communication for cybersecurity operations at individual, organizational and societal levels this includes dominant communication and teamwork frameworks with an emphasis on how individuals and organizations collaborate and cope with cybersecurity crises before, during and after they happen the course also sheds light on the deceptive communication tactics used in cyberattacks, and the defensive mechanisms against those types of attacks , cyber security, cyber operations, digital twin, effective communication, security information and event management siem, communication"
Security operations ,"Learning outcomes After successful completion of the course, the students will: - have advanced knowledge of software development and secure software development methodology. - have advanced knowledge of the key guidelines for the secure software development, e.g., OWASP´s Secure Coding Practice, OWASP Top 10, NIST, ISF, and other relevant sources. - have knowledge of secure software design principles and how to apply these principles. - understand software development project management, e.g., DevOps, and Agile Methods. - have advanced understanding of security requirement and verification guidelines for mobile environment such as OWASP Mobile Application Security (MAS). - be able to apply secure software implementation and verification guidelines. - be able to analyze and evaluate the security of software applications and software development processes. - be able to create secure software development requirements and processes. Contents The course provides an overview of relevant aspects of secure software development from design, implementation, and to verification. During the course we will have several case studies, as well as hands-on examples such as threat modelling, user and abuser story, and other relevant techniques. Moreover, the students will be introduced to the cybersecurity implications of IT Project Management.",learning outcomes after successful completion of the course the students will have advanced knowledge of software development and secure software development methodology have advanced knowledge of the key guidelines for the secure software development eg owasps secure coding practice owasp top 10 nist isf and other relevant sources have knowledge of secure software design principles and how to apply these principles understand software development project management eg devops and agile methods have advanced understanding of security requirement and verification guidelines for mobile environment such as owasp mobile application security mas be able to apply secure software implementation and verification guidelines be able to analyze and evaluate the security of software applications and software development processes be able to create secure software development requirements and processes contents the course provides an overview of relevant aspects of secure software development from design implementation and to verification during the course we will have several case studies as well as handson examples such as threat modelling user and abuser story and other relevant techniques moreover the students will be introduced to the cybersecurity implications of it project management,"agile methodology, cyber security, devops, open web application security project owasp, project management, software design, software development, software development methodologies, product software implementation method, threat modeling","security operations , learning outcomes after successful completion of the course, the students will have advanced knowledge of software development and secure software development methodology have advanced knowledge of the key guidelines for the secure software development, eg, owasps secure coding practice, owasp top 10, nist, isf, and other relevant sources have knowledge of secure software design principles and how to apply these principles understand software development project management, eg, devops, and agile methods have advanced understanding of security requirement and verification guidelines for mobile environment such as owasp mobile application security mas be able to apply secure software implementation and verification guidelines be able to analyze and evaluate the security of software applications and software development processes be able to create secure software development requirements and processes contents the course provides an overview of relevant aspects of secure software development from design, implementation, and to verification during the course we will have several case studies, as well as handson examples such as threat modelling, user and abuser story, and other relevant techniques moreover, the students will be introduced to the cybersecurity implications of it project management, agile methodology, cyber security, devops, open web application security project owasp, project management, software design, software development, software development methodologies, product software implementation method, threat modeling"
Strategy and governance of cybersecurity,"Learning outcomes After successful completion of the course, the students will: - understand the role of digital architectures in cybersecurity. - have advanced knowledge of different types of cybersecurity controls. - be able to apply enterprise architecture models to communicate cybersecurity requirements. - be able to analyze digital architectures to identify strategic assets, threats, and vulnerabilities. - be able to evaluate cyber risk scenarios using enterprise architecture models. - be able to select appropriate cybersecurity controls to mitigate risk in enterprise architectures. - be able to create enterprise security architecture. Contents The course provides an architectural view of cyber risk and security controls in digital business scenarios. In addition, students become familiar with digital innovation concepts and will be introduced to enterprise architecture frameworks. During the course, we will draw on case studies and reports to apply frameworks and theories to analyze, design and communicate cybersecurity requirements. ",learning outcomes after successful completion of the course the students will understand the role of digital architectures in cybersecurity have advanced knowledge of different types of cybersecurity controls be able to apply enterprise architecture models to communicate cybersecurity requirements be able to analyze digital architectures to identify strategic assets threats and vulnerabilities be able to evaluate cyber risk scenarios using enterprise architecture models be able to select appropriate cybersecurity controls to mitigate risk in enterprise architectures be able to create enterprise security architecture contents the course provides an architectural view of cyber risk and security controls in digital business scenarios in addition students become familiar with digital innovation concepts and will be introduced to enterprise architecture frameworks during the course we will draw on case studies and reports to apply frameworks and theories to analyze design and communicate cybersecurity requirements,"cyber risk, cyber security, enterprise architecture, enterprise security, risk mitigation, security controls, vulnerability","strategy and governance of cybersecurity, learning outcomes after successful completion of the course, the students will understand the role of digital architectures in cybersecurity have advanced knowledge of different types of cybersecurity controls be able to apply enterprise architecture models to communicate cybersecurity requirements be able to analyze digital architectures to identify strategic assets, threats, and vulnerabilities be able to evaluate cyber risk scenarios using enterprise architecture models be able to select appropriate cybersecurity controls to mitigate risk in enterprise architectures be able to create enterprise security architecture contents the course provides an architectural view of cyber risk and security controls in digital business scenarios in addition, students become familiar with digital innovation concepts and will be introduced to enterprise architecture frameworks during the course, we will draw on case studies and reports to apply frameworks and theories to analyze, design and communicate cybersecurity requirements , cyber risk, cyber security, enterprise architecture, enterprise security, risk mitigation, security controls, vulnerability"
Secure software development and project management,"Learning outcomes After successful completion of the course, the students will: - have a thorough understanding of organizational compliance and how it relates to standards (e.g., ISO-27001, NIST), guidelines, legislation, and ethics. - understand how cybersecurity relates to and gives rise to ethical concerns. - have advanced knowledge of key cybersecurity standards and guidelines and how they can be applied in different scenarios. - be able to analyze cybersecurity issues through legal and ethical frameworks and perspectives. - be able to evaluate cybersecurity compliance of organizations and services.  Contents The course provides an overview of relevant cybersecurity standards and guidelines, legislation, and ethical principles that guide and relate to organizational compliance. During the course, we will draw on case studies and reports to apply frameworks and theories to analyze challenges on ethics and compliance. ",learning outcomes after successful completion of the course the students will have a thorough understanding of organizational compliance and how it relates to standards eg iso27001 nist guidelines legislation and ethics understand how cybersecurity relates to and gives rise to ethical concerns have advanced knowledge of key cybersecurity standards and guidelines and how they can be applied in different scenarios be able to analyze cybersecurity issues through legal and ethical frameworks and perspectives be able to evaluate cybersecurity compliance of organizations and services contents the course provides an overview of relevant cybersecurity standards and guidelines legislation and ethical principles that guide and relate to organizational compliance during the course we will draw on case studies and reports to apply frameworks and theories to analyze challenges on ethics and compliance,"cyber security, cybersecurity compliance, cyber security standards, isoiec 27001, legislation","secure software development and project management, learning outcomes after successful completion of the course, the students will have a thorough understanding of organizational compliance and how it relates to standards eg, iso27001, nist, guidelines, legislation, and ethics understand how cybersecurity relates to and gives rise to ethical concerns have advanced knowledge of key cybersecurity standards and guidelines and how they can be applied in different scenarios be able to analyze cybersecurity issues through legal and ethical frameworks and perspectives be able to evaluate cybersecurity compliance of organizations and services contents the course provides an overview of relevant cybersecurity standards and guidelines, legislation, and ethical principles that guide and relate to organizational compliance during the course, we will draw on case studies and reports to apply frameworks and theories to analyze challenges on ethics and compliance , cyber security, cybersecurity compliance, cyber security standards, isoiec 27001, legislation"
Research methods,"Learning outcomes Upon successful completion of the course, the student will be able to: explain differences between various research paradigms used in Information Systems (IS) research, and their implication on planning and implementation of research studies choose the appropriate method(s) for different research questions based on adequate knowledge of various research methods (quantitative, qualitative and design oriented) produce a research design to implement scientific studies on master level, focusing particularly on the master's thesis, which includes the development and formulation of a research proposal, design of data collection and analysis, and report use various research methods for completion of practice-related projects that meet different needs describe established ethical rules and norms of sound research. Contents The course includes the following main components: How to write a master's thesis - how to choose a topic, evaluate the thesis, define the role of theory and research methodology in the thesis Research paradigms - the research process, philosophical foundation for characteristics and limitations for research paradigms, and how knowledge is generated and developed Research methodology - description of different research methods that are applied in IS. Topics covered include qualitative and quantitative methods for data collection and analysis, action research and design research",learning outcomes upon successful completion of the course the student will be able to explain differences between various research paradigms used in information systems is research and their implication on planning and implementation of research studies choose the appropriate methods for different research questions based on adequate knowledge of various research methods quantitative qualitative and design oriented produce a research design to implement scientific studies on master level focusing particularly on the masters thesis which includes the development and formulation of a research proposal design of data collection and analysis and report use various research methods for completion of practicerelated projects that meet different needs describe established ethical rules and norms of sound research contents the course includes the following main components how to write a masters thesis how to choose a topic evaluate the thesis define the role of theory and research methodology in the thesis research paradigms the research process philosophical foundation for characteristics and limitations for research paradigms and how knowledge is generated and developed research methodology description of different research methods that are applied in is topics covered include qualitative and quantitative methods for data collection and analysis action research and design research,"data collection, information systems, research methodologies","research methods, learning outcomes upon successful completion of the course, the student will be able to explain differences between various research paradigms used in information systems is research, and their implication on planning and implementation of research studies choose the appropriate methods for different research questions based on adequate knowledge of various research methods quantitative, qualitative and design oriented produce a research design to implement scientific studies on master level, focusing particularly on the masters thesis, which includes the development and formulation of a research proposal, design of data collection and analysis, and report use various research methods for completion of practicerelated projects that meet different needs describe established ethical rules and norms of sound research contents the course includes the following main components how to write a masters thesis how to choose a topic, evaluate the thesis, define the role of theory and research methodology in the thesis research paradigms the research process, philosophical foundation for characteristics and limitations for research paradigms, and how knowledge is generated and developed research methodology description of different research methods that are applied in is topics covered include qualitative and quantitative methods for data collection and analysis, action research and design research, data collection, information systems, research methodologies"
Current topics and research areas in information systems,"Learning outcomes Upon successful completion of the course, students should: know and be able to discuss current research topics within information systems (IS) or cybersecurity. be able to apply a systematic method for writing a literature review of a specific topic. design a scientific report that summarizes and concludes the results from a literature review related to a selected topic. suggest a theoretical perspective, framework or model and argue for why this choice is appropriate for designing and conducting a research study. present potential practical and theoretical contributions for a planned research project. Contents The course prepares the student for the master thesis and provides possibilities for specialization on a chosen topic within IS or cybersecurity. It will focus on current research issues and the methodology for conducting literature studies. Students are introduced to various topics and issues within the IS field that can be relevant focus areas in a master thesis. Research ethics and guidelines for how to apply ethics in IS research studies are part of the course. During the course, students ideally work with a comprehensive literature review which can be related to the theme of their forthcoming thesis. Students can choose topics from a wide range of relevant areas within IS or cybersecurity. Topics may be connected to research activities and on-going projects in research centers at the university, such as Centre for Integrated Emergency Management, Centre for eHealth and Centre for Digital Transformation.",learning outcomes upon successful completion of the course students should know and be able to discuss current research topics within information systems is or cybersecurity be able to apply a systematic method for writing a literature review of a specific topic design a scientific report that summarizes and concludes the results from a literature review related to a selected topic suggest a theoretical perspective framework or model and argue for why this choice is appropriate for designing and conducting a research study present potential practical and theoretical contributions for a planned research project contents the course prepares the student for the master thesis and provides possibilities for specialization on a chosen topic within is or cybersecurity it will focus on current research issues and the methodology for conducting literature studies students are introduced to various topics and issues within the is field that can be relevant focus areas in a master thesis research ethics and guidelines for how to apply ethics in is research studies are part of the course during the course students ideally work with a comprehensive literature review which can be related to the theme of their forthcoming thesis students can choose topics from a wide range of relevant areas within is or cybersecurity topics may be connected to research activities and ongoing projects in research centers at the university such as centre for integrated emergency management centre for ehealth and centre for digital transformation,"cyber security, digital transformation, information systems","current topics and research areas in information systems, learning outcomes upon successful completion of the course, students should know and be able to discuss current research topics within information systems is or cybersecurity be able to apply a systematic method for writing a literature review of a specific topic design a scientific report that summarizes and concludes the results from a literature review related to a selected topic suggest a theoretical perspective, framework or model and argue for why this choice is appropriate for designing and conducting a research study present potential practical and theoretical contributions for a planned research project contents the course prepares the student for the master thesis and provides possibilities for specialization on a chosen topic within is or cybersecurity it will focus on current research issues and the methodology for conducting literature studies students are introduced to various topics and issues within the is field that can be relevant focus areas in a master thesis research ethics and guidelines for how to apply ethics in is research studies are part of the course during the course, students ideally work with a comprehensive literature review which can be related to the theme of their forthcoming thesis students can choose topics from a wide range of relevant areas within is or cybersecurity topics may be connected to research activities and ongoing projects in research centers at the university, such as centre for integrated emergency management, centre for ehealth and centre for digital transformation, cyber security, digital transformation, information systems"
Data Science Applications II,"Learning outcomes Upon completion of the course, students should: have knowledge about statistical concepts such as probability and modelling and how to apply them in practice. be able to promote data-analytic thinking and explain how to extract knowledge from different types of big data. be able to identify the potential for creating business and societal value out of big data. be able to discuss why and how the change in the digital era and data availability can transform business and society. have thorough knowledge of how big data and analytics can foster successful digital transformations. be able to use advanced business intelligence platforms including data visualization, communication, forecasting, and prediction. be able to implement machine learning algorithms (e.g., AutoML). have in-depth knowledge of fundamental data science concepts through motivating realworld case studies. be able to evaluate and assess business problems, propose, and develop data-driven business models, strategies, and solutions. have achieved a common understanding that will lead to more efficient communication between management, technical/development, and data science teams. Course contents The course builds on concepts and techniques from multiple fields including business, management, economics, sociology and computer science. The students will be able to have a broad perspective on real life problems, view a challenge considering different perspectives and see how different pieces fit together leading them to propose, design or develop data-driven solutions. Throughout the course, we will be using powerful Business Intelligence (BI) platforms (e.g.,Tableau software environment) and ML tools and platforms. You will learn statistical concepts and data analysis techniques along with skills on BI platforms. You can better retain knowledge of a tool and how it works when you link it with a specific problem. The students will be asked, without it being mandatory, to link their in-class assignments with actual cases from their own experience (e.g., an existing dataset or a business problem). Focus will be given on finding the right problem to solve while fostering the ideation of creative solutions on existing problems using existing datasets. The course gives students a systematic basis for addressing change 26 in the digital business and bridging digital transformation with digital sustainability for shared value that impacts society. We will be discussing big data analytics ecosystems and strategies for digital transformation as paths to business and societal change.",learning outcomes upon completion of the course students should have knowledge about statistical concepts such as probability and modelling and how to apply them in practice be able to promote dataanalytic thinking and explain how to extract knowledge from different types of big data be able to identify the potential for creating business and societal value out of big data be able to discuss why and how the change in the digital era and data availability can transform business and society have thorough knowledge of how big data and analytics can foster successful digital transformations be able to use advanced business intelligence platforms including data visualization communication forecasting and prediction be able to implement machine learning algorithms eg automl have indepth knowledge of fundamental data science concepts through motivating realworld case studies be able to evaluate and assess business problems propose and develop datadriven business models strategies and solutions have achieved a common understanding that will lead to more efficient communication between management technicaldevelopment and data science teams course contents the course builds on concepts and techniques from multiple fields including business management economics sociology and computer science the students will be able to have a broad perspective on real life problems view a challenge considering different perspectives and see how different pieces fit together leading them to propose design or develop datadriven solutions throughout the course we will be using powerful business intelligence bi platforms egtableau software environment and ml tools and platforms you will learn statistical concepts and data analysis techniques along with skills on bi platforms you can better retain knowledge of a tool and how it works when you link it with a specific problem the students will be asked without it being mandatory to link their inclass assignments with actual cases from their own experience eg an existing dataset or a business problem focus will be given on finding the right problem to solve while fostering the ideation of creative solutions on existing problems using existing datasets the course gives students a systematic basis for addressing change 26 in the digital business and bridging digital transformation with digital sustainability for shared value that impacts society we will be discussing big data analytics ecosystems and strategies for digital transformation as paths to business and societal change,"automated machine learning, business intelligence, big data, computer science, data analysis, data availability, data science, data visualization, dataset, digital transformation, economics, machine learning algorithms, machine learning, tableau business intelligence software, microsoft teams, communication","data science applications ii, learning outcomes upon completion of the course, students should have knowledge about statistical concepts such as probability and modelling and how to apply them in practice be able to promote dataanalytic thinking and explain how to extract knowledge from different types of big data be able to identify the potential for creating business and societal value out of big data be able to discuss why and how the change in the digital era and data availability can transform business and society have thorough knowledge of how big data and analytics can foster successful digital transformations be able to use advanced business intelligence platforms including data visualization, communication, forecasting, and prediction be able to implement machine learning algorithms eg, automl have indepth knowledge of fundamental data science concepts through motivating realworld case studies be able to evaluate and assess business problems, propose, and develop datadriven business models, strategies, and solutions have achieved a common understanding that will lead to more efficient communication between management, technicaldevelopment, and data science teams course contents the course builds on concepts and techniques from multiple fields including business, management, economics, sociology and computer science the students will be able to have a broad perspective on real life problems, view a challenge considering different perspectives and see how different pieces fit together leading them to propose, design or develop datadriven solutions throughout the course, we will be using powerful business intelligence bi platforms eg,tableau software environment and ml tools and platforms you will learn statistical concepts and data analysis techniques along with skills on bi platforms you can better retain knowledge of a tool and how it works when you link it with a specific problem the students will be asked, without it being mandatory, to link their inclass assignments with actual cases from their own experience eg, an existing dataset or a business problem focus will be given on finding the right problem to solve while fostering the ideation of creative solutions on existing problems using existing datasets the course gives students a systematic basis for addressing change 26 in the digital business and bridging digital transformation with digital sustainability for shared value that impacts society we will be discussing big data analytics ecosystems and strategies for digital transformation as paths to business and societal change, automated machine learning, business intelligence, big data, computer science, data analysis, data availability, data science, data visualization, dataset, digital transformation, economics, machine learning algorithms, machine learning, tableau business intelligence software, microsoft teams, communication"
"IT and Management
","Modules on a ring. Linear algebra: modules, submodules, quotients, free families, generators, bases. Case of vector spaces. Networks. Tensor product of modules and algebras (existence and universal property). Matrices. Elementary operations. Reduced form echeloned by lines (in a field), Hermite form (Euclidean ring); Smith form (Euclidean ring). Application to finitely generated abelian groups and to the reduction of endomorphisms. Galois theory. Extensions of bodies (algebraic elements, transcendental elements of an extension), rupture bodies, decomposition bodies; algebraically closed bodies, existence of an algebraic closure. Finite fields (field extensions, finite fields, multiplicative group of a finite field), irreducible polynomials over a finite field. Galois theory (up to correspondence). Solvable groups and solvability by radicals. Straightedge and compass constructions. Regular polygons. Cyclic extensions.",modules on a ring linear algebra modules submodules quotients free families generators bases case of vector spaces networks tensor product of modules and algebras existence and universal property matrices elementary operations reduced form echeloned by lines in a field hermite form euclidean ring smith form euclidean ring application to finitely generated abelian groups and to the reduction of endomorphisms galois theory extensions of bodies algebraic elements transcendental elements of an extension rupture bodies decomposition bodies algebraically closed bodies existence of an algebraic closure finite fields field extensions finite fields multiplicative group of a finite field irreducible polynomials over a finite field galois theory up to correspondence solvable groups and solvability by radicals straightedge and compass constructions regular polygons cyclic extensions,linear algebra,"it and management , modules on a ring linear algebra modules, submodules, quotients, free families, generators, bases case of vector spaces networks tensor product of modules and algebras existence and universal property matrices elementary operations reduced form echeloned by lines in a field, hermite form euclidean ring smith form euclidean ring application to finitely generated abelian groups and to the reduction of endomorphisms galois theory extensions of bodies algebraic elements, transcendental elements of an extension, rupture bodies, decomposition bodies algebraically closed bodies, existence of an algebraic closure finite fields field extensions, finite fields, multiplicative group of a finite field, irreducible polynomials over a finite field galois theory up to correspondence solvable groups and solvability by radicals straightedge and compass constructions regular polygons cyclic extensions, linear algebra"
Basic General Algebra,"Learning outcomes Upon successful completion of this course, students will have achieved the knowledge and skills to: describe the importance of effective IS management in organizations explain the strategic role of IT/IS in an organization apply key principles and techniques for successful management of IT/IS services, including the procurement, development, implementation and maintenance of information systems and IT/IS infrastructure identify and discuss different types of IT governance within organizations identify the challenges of managing the internal IS department, and managing the relations with external vendors discuss ethical and social issues relevant for the IT/IS field on the organizational and societal level critically evaluate the role of Information Systems within management, and how ICT/IS supports processes and added value within the organization select key principles and strategies of human resource management related to the IT/IS field within the organization identify and present relevant current literature on management of IT Course contents The course focuses on central themes, such as: IT/IS Strategy, The ITS department's tasks and main principles for implementation, Organization and management of the IS function in an organization, Recruitment and management of IT competency, Global IS issues such as platforms and ecosystems, Ethical issues",learning outcomes upon successful completion of this course students will have achieved the knowledge and skills to describe the importance of effective is management in organizations explain the strategic role of itis in an organization apply key principles and techniques for successful management of itis services including the procurement development implementation and maintenance of information systems and itis infrastructure identify and discuss different types of it governance within organizations identify the challenges of managing the internal is department and managing the relations with external vendors discuss ethical and social issues relevant for the itis field on the organizational and societal level critically evaluate the role of information systems within management and how ictis supports processes and added value within the organization select key principles and strategies of human resource management related to the itis field within the organization identify and present relevant current literature on management of it course contents the course focuses on central themes such as itis strategy the its departments tasks and main principles for implementation organization and management of the is function in an organization recruitment and management of it competency global is issues such as platforms and ecosystems ethical issues,"human resource management, information and communications technology, information systems, it governance","basic general algebra, learning outcomes upon successful completion of this course, students will have achieved the knowledge and skills to describe the importance of effective is management in organizations explain the strategic role of itis in an organization apply key principles and techniques for successful management of itis services, including the procurement, development, implementation and maintenance of information systems and itis infrastructure identify and discuss different types of it governance within organizations identify the challenges of managing the internal is department, and managing the relations with external vendors discuss ethical and social issues relevant for the itis field on the organizational and societal level critically evaluate the role of information systems within management, and how ictis supports processes and added value within the organization select key principles and strategies of human resource management related to the itis field within the organization identify and present relevant current literature on management of it course contents the course focuses on central themes, such as itis strategy, the its departments tasks and main principles for implementation, organization and management of the is function in an organization, recruitment and management of it competency, global is issues such as platforms and ecosystems, ethical issues, human resource management, information and communications technology, information systems, it governance"
Basic algorithms,"Binary search, sorting, trees. Complexity. Elementary algorithms for graphs. Representation of whole and real numbers, elementary operations. GCD, extended GCD, Chinese theorem and modular arithmetic. Multiprecision multiplication (Schoolbook, Karatsuba, Toom-Cook, fast Fourier transform if time permits). Multiprecision inversion (Newton's method, exponentiation, etc.). Other applications of Newton's method (square root). Modular reduction (Montgomery reduction, normal and Gaussian bases). Operations on polynomials (elementary operations, GCD, interpolation, coefficient/root relations). Approximate calculation methods for common functions. Introduction to information processing (filter, FFT, etc.). Locating the roots of polynomials. Factorization of polynomials, especially over finite fields.",binary search sorting trees complexity elementary algorithms for graphs representation of whole and real numbers elementary operations gcd extended gcd chinese theorem and modular arithmetic multiprecision multiplication schoolbook karatsuba toomcook fast fourier transform if time permits multiprecision inversion newtons method exponentiation etc other applications of newtons method square root modular reduction montgomery reduction normal and gaussian bases operations on polynomials elementary operations gcd interpolation coefficientroot relations approximate calculation methods for common functions introduction to information processing filter fft etc locating the roots of polynomials factorization of polynomials especially over finite fields,"algorithms, binary search algorithms","basic algorithms, binary search, sorting, trees complexity elementary algorithms for graphs representation of whole and real numbers, elementary operations gcd, extended gcd, chinese theorem and modular arithmetic multiprecision multiplication schoolbook, karatsuba, toomcook, fast fourier transform if time permits multiprecision inversion newtons method, exponentiation, etc other applications of newtons method square root modular reduction montgomery reduction, normal and gaussian bases operations on polynomials elementary operations, gcd, interpolation, coefficientroot relations approximate calculation methods for common functions introduction to information processing filter, fft, etc locating the roots of polynomials factorization of polynomials, especially over finite fields, algorithms, binary search algorithms"
Information theory,"Elementary probabilities on finite sets; Markov chains. Acquire the basics of information theory, up to Shannon's theorems. Lossless data compression; transmission channels, calculation of their capacity, codes and turbo-codes. Acquire knowledge of statistics useful for cryptography such as randomness tests or the tools necessary for common statistical attacks in symmetric cryptography (linear and differential attacks).",elementary probabilities on finite sets markov chains acquire the basics of information theory up to shannons theorems lossless data compression transmission channels calculation of their capacity codes and turbocodes acquire knowledge of statistics useful for cryptography such as randomness tests or the tools necessary for common statistical attacks in symmetric cryptography linear and differential attacks,"cryptography, data compression, information theory, markov chain","information theory, elementary probabilities on finite sets markov chains acquire the basics of information theory, up to shannons theorems lossless data compression transmission channels, calculation of their capacity, codes and turbocodes acquire knowledge of statistics useful for cryptography such as randomness tests or the tools necessary for common statistical attacks in symmetric cryptography linear and differential attacks, cryptography, data compression, information theory, markov chain"
Correcting codes,"General Principles of Cryptography Block and Stream Ciphers Public key cryptography (RSA, discrete logarithm) Hash functions, electronic signature Understand and know how to determine the basic cryptographic building blocks necessary for setting up a global security system.",general principles of cryptography block and stream ciphers public key cryptography rsa discrete logarithm hash functions electronic signature understand and know how to determine the basic cryptographic building blocks necessary for setting up a global security system,"cipher, cryptography, hash functions, public key cryptography, rsa cryptosystem, security systems","correcting codes, general principles of cryptography block and stream ciphers public key cryptography rsa, discrete logarithm hash functions, electronic signature understand and know how to determine the basic cryptographic building blocks necessary for setting up a global security system, cipher, cryptography, hash functions, public key cryptography, rsa cryptosystem, security systems"
Complexity,"Linear codes, cyclic codes Reed-Solomon codes, BCH codes, examples of decoding algorithms Codes de Goppa, cryptosystème de Mac Eliece. Understand the general principles of error-correcting codes defined on finite fields and implement algorithms (particularly decoding) on ​​certain families of codes.",linear codes cyclic codes reedsolomon codes bch codes examples of decoding algorithms codes de goppa cryptosystème de mac eliece understand the general principles of errorcorrecting codes defined on finite fields and implement algorithms particularly decoding on certain families of codes,"algorithms, cryptosystem","complexity, linear codes, cyclic codes reedsolomon codes, bch codes, examples of decoding algorithms codes de goppa, cryptosystème de mac eliece understand the general principles of errorcorrecting codes defined on finite fields and implement algorithms particularly decoding on certain families of codes, algorithms, cryptosystem"
